 CUSTOMERNUMBER,customername,contactlastname,contactfirstname,phone,addressline1,addressline2,city,state,POSTALCODE,country,SALESREPEMPLOYEENUMBER,CREDITLIMIT
1501,Muscle Machine Inc,Young,Jeff,2125557413,4092 Furth Circle,Suite 400,NY,NY,34360,USA,1619,565671
1504,Diecast Classics Inc.,Leong,Kelvin,2155551555,7586 Pompton St.,subham,PA,PA,34361,USA,1621,565672
1611,Technics Stores Inc.,Hashimoto,Juri,6505556809,9408 Furth Circle,subham,CA,CA,34362,USA,1625,565673
1612,Handji Gifts& Co,Victorino,Wendy,+65 224 1555,106 Linden Road Sandown,2nd Floor,NULL,NULL,34363,Singapore,1323,565674
1619,Herkku Gifts,Oeztan,Veysel,+47 2267 3215,Brehmen St. 121,PR 334 Sentrum,NULL,NULL,34364,Norway  ,1337,565675
1621,American Souvenirs Inc,Franco,Keith,2035557845,149 Spinnaker Dr.,Suite 101,CT,CT,34365,USA,1370,565676
1625,Porto Imports Co.,de Castro,Isabel ,(1) 356-5555,Estrada da saúde n. 58,NULL,NULL,NULL,34366,Portugal,1401,565677
1702,Daedalus Designs Imports,Ranc?,Martine ,20.16.1555,"184, chauss?e de Tournai",subham,NULL,NULL,34367,France,1501,565678
278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,subham',Bergamo,NULL,24100,Italy,1401,119600
282,Souveniers And Things Co.,Huxley,Adrian,+61 2 9495 8555,Monitor Money Building,815 Pacific Hwy,Chatswood,NSW,2067,Australia,1611,93300
286,Marta\s Replicas Co.',Hernandez,Marta,6175558555,39323 Spinnaker Dr.,subham',Cambridge,MA,51247,USA,1216,123700
293,BG&E Collectables,Harrison,Ed,+41 26 425 50 01,Rte des Arsenaux 41 ,NULL',Fribourg,NULL',1700,Switzerland,8789,0
298,"Vida Sport, Ltd",Holz,Mihael,0897-034555,Grenzacherweg 237,subham',Gen?ve,NULL,1203,Switzerland,1702,141300
299,"Norway Gifts By Mail, Co.",Klaeboe,Jan,+47 2212 1555,Drammensveien 126A,PB 211 Sentrum,Oslo,NULL,N 0106,Norway  ,1504,95100
303,Schuyler Imports,Schuyler,Bradley,+31 20 491 9555,Kingsfordweg 151,NULL',Amsterdam,NULL',1043 GR,Netherlands,1166,0
307,Der Hund Imports,Andersen,Mel,030-0074555,Obere Str. 57,NULL',Berlin,NULL',12209,Germany,1166,0
311,"Oulu Toy Supplies, Inc.",Koskitalo,Pirkko,981-443655,Torikatu 38,subham',Oulu,NULL,90110,Finland,1501,90500
314,Petit Auto,Dewey,Catherine ,(02) 5554 67,Rue Joseph-Bens 532,subham',Bruxelles,NULL,B-1180,Belgium,1401,79900
319,Mini Classics,Frick,Steve,9145554562,3758 North Pendale Street,subham',White Plains,NY,24067,USA,1323,102700
320,Mini Creations Ltd.,Huang,Wing,5085559555,4575 Hillside Dr.,subham',New Bedford,MA,50553,USA,1188,94500
321,Corporate Gift Ideas Co.,Brown,Julie,6505551386,7734 Strong St.,subham',San Francisco,CA,94217,USA,1165,105000
323,"Down Under Souveniers, Inc",Graham,Mike,+64 9 312 5555,162-164 Grafton Road,Level 2,Auckland  ,NULL,NULL,New Zealand,1612,88000
324,"Stylish Desk Decors, Co.",Brown,Ann ,(171) 555-0297,35 King George,subham',London,NULL,WX3 6FW,UK,1501,77000
328,Tekni Collectables Inc.,Brown,William,2015559350,7476 Moss Rd.,subham',Newark,NJ,94019,USA,1323,43000
333,"Australian Gift Network, Co",Calaghan,Ben,61-7-3844-6555,31 Duncan St. West End,subham',South Brisbane,Queensland,4101,Australia,1611,51600
334,Suominen Souveniers,Suominen,Kalle,+358 9 8045 555,Software Engineering Center,SEC Oy,Espoo,NULL,FIN-02271,Finland,1501,98800
335,"Cramer Spezialit?ten, Ltd",Cramer,Philip ,0555-09555,Maubelstr. 90,NULL',Brandenburg,NULL',14776,Germany,1166,0
339,"Classic Gift Ideas, Inc",Cervantes,Francisca,2155554695,782 First Street,subham',Philadelphia,PA,71270,USA,1188,81100
344,CAF Imports,Fernandez,Jesus,+34 913 728 555,Merchants House,27-30 Merchant\s Quay',Madrid,NULL,28023,Spain,1702,59600
347,Men \R\' US Retailers  Ltd.',chandler,brian,215554369,6047 Douglas Av.,subham',Los Angeles,CA,91003,USA,1166,57700
348,"Asian Treasures, Inc.",McKenna,Patricia ,2967 555,8 Johnstown Road,subham',Cork,Co. Cork,NULL,Ireland,1166,0
350,Marseille Mini Autos,Lebihan,Laurence ,91.24.4555,"12, rue des Bouchers",subham',Marseille,NULL,13008,France,1337,65000
353,Reims Collectables,Henriot,Paul ,26.47.1555,59 rue de l\Abbaye',subham',Reims,NULL,51100,France,1337,81100
356,"SAR Distributors, Co",Kuger,Armand,+27 21 550 3555,1250 Pretorius Street,subham',Hatfield,Pretoria,28,South Africa,787,0
357,GiftsForHim.com,MacKinlay,Wales,64-9-3763555,199 Great North Road,subham',Auckland,NULL,NULL,New Zealand,1612,77700
361,Kommission Auto,Josephs,Karin,0251-555259,Luisenstr. 48,NULL',MÅnster,NULL',44087,Germany,1166,0
362,Gifts4AllAges.com,Yoshido,Juri,6175559555,8616 Spinnaker Dr.,subham',Boston,MA,51003,USA,1216,41900
363,Online Diecast Creations Co.,Young,Dorothy,6035558647,2304 Long Airport Avenue,subham',Nashua,NH,62005,USA,1216,114200
369,"Lisboa Souveniers, Inc",Rodriguez,Lino ,(1) 354-2555,Jardim das rosas n. 32,NULL',Lisboa,NULL',1675,Portugal,1166,0
376,Precious Collectables,Urs,Braun,0452-076555,Hauptstr. 29,subham',Bern,NULL,3012,Switzerland,1702,0
379,Collectables For Less Inc.,Nelson,Allen,6175558555,7825 Douglas Av.,subham',Brickhaven,MA,58339,USA,1188,70700
381,Royale Belge,Cartrain,Pascale ,(071) 23 67 2555,"Boulevard Tirou, 255",subham',Charleroi,NULL,B-6000,Belgium,1401,23500
382,Salzburg Collectables,Pipps,Georg ,6562-9555,Geislweg 14,subham',Salzburg,NULL,5020,Austria,1401,71700
385,Cruz & Sons Co.,Cruz,Arnold,+63 2 555 3587,15 McCallum Street,NatWest Center #13-03,Makati City,NULL,1227 MM,Philippines,1621,81500
386,L\ordine Souveniers',Moroni,Maurizio ,0522-556555,Strada Provinciale 124,subham',Reggio Emilia,NULL,42100,Italy,1401,121400
398,"Tokyo Collectables, Ltd",Shimamura,Akiko,+81 3 3584 0555,2-2-8 Roppongi,subham',Minato-ku,Tokyo,106-0032,Japan,1621,94400
406,Auto Canal+ Petit,Perrier,Dominique,(1) 47.55.6555,"25, rue Lauriston",subham',Paris,NULL,75016,France,1337,95000
409,Stuttgart Collectable Exchange,MÅller,Rita ,0711-555361,Adenauerallee 900,NULL',Stuttgart,NULL',70563,Germany,1166,0
412,"Extreme Desk Decorations, Ltd",McRoy,Sarah,04 499 9555,101 Lambton Quay,Level 11,Wellington,NULL,NULL,New Zealand,1612,86800
415,"Bavarian Collectables Imports, Co.",Donnermeyer,Michael, +49 89 61 08 9555,Hansastr. 15,subham',Munich,NULL,80686,Germany,1504,77000
424,Classic Legends Inc.,Hernandez,Maria,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,1286,67500
443,"Feuer Online Stores, Inc",Feuer,Alexander ,0342-555176,Heerstr. 22,NULL',Leipzig,NULL',4179,Germany,1166,0
447,Gift Ideas Corp.,Lewis,Dan,2035554407,2440 Pompton St.,subham',Glendale,CT,97561,USA,1323,49700
448,Scandinavian Gift Ideas,Larsson,Martha,0695-34 6555,èkergatan 24,subham',Br?cke,NULL,S-844 67,Sweden,1504,116400
450,The Sharp Gifts Warehouse,Frick,Sue,4085553659,3086 Ingle Ln.,subham',San Jose,CA,94217,USA,1165,77600
452,Mini Auto Werke,Mendel,Roland ,7675-3555,Kirchgasse 6,subham',Graz,NULL,8010,Austria,1401,45300
455,Super Scale Inc.,Murphy,Leslie,2035559545,567 North Pendale Street,subham',New Haven,CT,97823,USA,1286,95400
456,Microscale Inc.,Choi,Yu,2125551957,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA,1286,39800
458,"Corrida Auto Replicas, Ltd",Sommer,Mart≠n ,(91) 555 22 82,"C/ Araquil, 67",subham',Madrid,NULL,28023,Spain,1702,104600
459,Warburg Exchange,Ottlieb,Sven ,0241-039123,Walserweg 21,NULL',Aachen,NULL',52066,Germany,1166,0
462,FunGiftIdeas.com,Benitez,Violeta,5085552555,1785 First Street,subham',New Bedford,MA,50553,USA,1166,85800
465,"Anton Designs, Ltd.",Anton,Carmen,+34 913 728555,"c/ Gobelas, 19-1 Urb. La Florida",NULL',Madrid,NULL',28023,Spain,1166,0
471,"Australian Collectables, Ltd",Clenahan,Sean,61-9-3844-6555,7 Allen Street,subham',Glen Waverly,Victoria,3150,Australia,1611,60300
473,Frau da Collezione,Ricotti,Franco,+39 022515555,20093 Cologno Monzese,Alessandro Volta 16,Milan,NULL,NULL,Italy,1401,34800
475,West Coast Collectables Co.,Thompson,Steve,3105553722,3675 Furth Circle,subham',Burbank,CA,94019,USA,1166,55400
477,Mit VergnÅgen & Co.,Moos,Hanna ,0621-08555,Forsterstr. 57,NULL',Mannheim,NULL',68306,Germany,1166,0
480,"Kremlin Collectables, Co.",Semenov,Alexander ,+7 812 293 0521,2 Pobedy Square,NULL',Saint Petersburg,NULL',196143,Russia,1166,0
481,"Raanan Stores, Inc","Altagar,G M",Raanan,+ 972 9 959 8555,3 Hagalim Blv.,,Herzlia,NULL',47625,Israel,1166,0
484,"Iberia Gift Imports, Corp.",Roel,Jos? Pedro ,(95) 555 82 82,"C/ Romero, 33",subham',Sevilla,NULL,41101,Spain,1702,65700
486,Motor Mint Distributors Inc.,Salazar,Rosa,2155559857,11328 Douglas Av.,subham',Philadelphia,PA,71270,USA,1323,72600
487,Signal Collectibles Ltd.,Taylor,Sue,4155554312,2793 Furth Circle,subham',Brisbane,CA,94217,USA,1165,60300
489,"Double Decker Gift Stores, Ltd",Smith,Thomas ,(171) 555-7555,120 Hanover Sq.,subham',London,NULL,WA1 1DP,UK,1501,43300
495,Diecast Collectables,Franco,Valarie,6175552555,6251 Ingle Ln.,subham',Boston,MA,51003,USA,1188,85100
496,Kelly\s Gift Shop',Snowden,Tony,+64 9 5555500,Arenales 1938 3\A\'',subham',Auckland  ,NULL,NULL,New Zealand,1612,110000
